,date_local,time_local,Ozone_Maricopa,Ozone_LosAngeles,Ozone_Cook,Ozone_SanDiego,Ozone_Harris,Ozone_Orange,Ozone_MiamiDade,Ozone_Dallas,Ozone_Riverside,Ozone_Queens
1309,2019-02-24,2020-11-09 13:00:00,0.046190476190476205,0.05053846153846154,0.051,0.04957142857142858,0.0410625,0.050333333333333334,0.0245,0.04700000000000001,0.05207142857142859,0.016
1310,2019-02-24,2020-11-09 14:00:00,0.0472857142857143,0.05238461538461539,0.051,0.05185714285714286,0.0420625,0.052333333333333336,0.0235,0.04833333333333334,0.05364285714285715,0.025
1311,2019-02-24,2020-11-09 15:00:00,0.04809523809523811,0.0513846153846154,0.049,0.05142857142857143,0.042125,0.052333333333333336,0.0235,0.04800000000000001,0.05421428571428573,0.027
1312,2019-02-24,2020-11-09 16:00:00,0.048571428571428585,0.04846153846153846,0.047,0.05085714285714286,0.0418125,0.051333333333333335,0.0235,0.04733333333333334,0.05292857142857144,0.026
1313,2019-02-24,2020-11-09 17:00:00,0.0462857142857143,0.044461538461538455,0.045,0.04985714285714286,0.038875,0.04599999999999999,0.0225,0.046000000000000006,0.048,0.023
1314,2019-02-24,2020-11-09 18:00:00,0.03976190476190477,0.036000000000000004,0.043,0.043,0.029437500000000002,0.03866666666666667,0.020999999999999998,0.04133333333333333,0.03738461538461538,0.023
1315,2019-02-24,2020-11-09 19:00:00,0.03138095238095239,0.029615384615384606,0.04,0.03642857142857143,0.02425,0.02733333333333333,0.02,0.029333333333333333,0.0296923076923077,0.023
1316,2019-02-24,2020-11-09 20:00:00,0.025523809523809532,0.024230769230769226,0.038,0.026714285714285715,0.0248125,0.015333333333333332,0.0155,0.019,0.025153846153846155,0.028
1317,2019-02-24,2020-11-09 21:00:00,0.023761904761904765,0.017153846153846155,0.037,0.024428571428571428,0.022875000000000006,0.012333333333333335,0.01,0.013333333333333334,0.02053846153846154,0.038
1318,2019-02-24,2020-11-09 22:00:00,0.021761904761904764,0.010666666666666666,0.037,0.02628571428571429,0.022062500000000006,0.011666666666666667,0.0085,0.009333333333333334,0.017615384615384616,0.039
1319,2019-02-24,2020-11-09 23:00:00,0.022619047619047622,0.010153846153846154,0.037,0.026285714285714284,0.024125000000000008,0.008666666666666666,0.01,0.002,0.016692307692307697,0.041
1320,2019-02-25,2020-11-09 00:00:00,0.02352380952380953,0.01023076923076923,0.036,0.02557142857142857,0.02531250000000001,0.008666666666666668,0.01,0.0023333333333333335,0.016545454545454547,0.042
1321,2019-02-25,2020-11-09 01:00:00,0.022380952380952387,0.009076923076923078,0.036,0.025714285714285714,0.02506250000000001,0.009000000000000001,0.008,0.0023333333333333335,0.016692307692307694,0.04
1322,2019-02-25,2020-11-09 02:00:00,0.02057142857142858,0.009000000000000001,0.036,0.0195,0.023937500000000007,0.009,0.0075,0.005333333333333333,0.01484615384615385,0.04
1323,2019-02-25,2020-11-09 03:00:00,0.01952380952380953,0.009076923076923076,0.036,0.0155,0.022937500000000006,0.007333333333333333,0.0115,0.004666666666666667,0.014461538461538463,0.041
